
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 2 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/2follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/2follower/training_20251025_160056.log
============================================================

Episode   0, Steps:    3, Total: -517.75, Leader: -513.83, [F0: -2.46, F1: -1.46] - ✗ failure
Episode   1, Steps: 1000, Total: -22391.37, Leader: -10261.04, [F0: -6478.80, F1: -5651.53] - ⏱ timeout
Episode   2, Steps:  667, Total: -11057.64, Leader: -3513.01, [F0: -3685.91, F1: -3858.72] - ✗ failure
Episode   3, Steps: 1000, Total: -20392.53, Leader: -11301.64, [F0: -4868.17, F1: -4222.72] - ⏱ timeout
Episode   4, Steps:    4, Total: -526.21, Leader: -520.61, [F0: -2.41, F1: -3.19] - ✗ failure
Episode   5, Steps:   75, Total:  452.35, Leader:  642.90, [F0: -120.59, F1: -69.96] - ✓ success
Episode   6, Steps: 1000, Total: -7165.71, Leader: -4457.21, [F0: -1319.59, F1: -1388.91] - ⏱ timeout
Episode   7, Steps: 1000, Total: -17058.55, Leader: -13450.94, [F0: -1697.53, F1: -1910.08] - ⏱ timeout
Episode   8, Steps:  934, Total: -12391.56, Leader: -9216.27, [F0: -1462.46, F1: -1712.82] - ✗ failure
Episode   9, Steps: 1000, Total: -10493.52, Leader: -7444.99, [F0: -1330.42, F1: -1718.11] - ⏱ timeout
Episode  10, Steps: 1000, Total: -12872.97, Leader: -9936.45, [F0: -1244.67, F1: -1691.85] - ⏱ timeout
Episode  11, Steps: 1000, Total: -9576.58, Leader: -6810.55, [F0: -1429.18, F1: -1336.85] - ⏱ timeout
Episode  12, Steps:  101, Total: -1194.81, Leader: -1000.32, [F0: -98.47, F1: -96.02] - ✗ failure
Episode  13, Steps:  571, Total: -4027.69, Leader: -2848.61, [F0: -611.48, F1: -567.60] - ✗ failure
Episode  14, Steps: 1000, Total: -12025.66, Leader: -8161.94, [F0: -1860.06, F1: -2003.66] - ⏱ timeout
Episode  15, Steps: 1000, Total: -5662.17, Leader: -3463.53, [F0: -1665.53, F1: -533.11] - ⏱ timeout
Episode  16, Steps: 1000, Total: -7776.69, Leader: -4852.77, [F0: -1783.94, F1: -1139.98] - ⏱ timeout
Episode  17, Steps:  952, Total: -2823.99, Leader: -579.78, [F0: -1126.37, F1: -1117.84] - ✓ success
Episode  18, Steps: 1000, Total: -6104.16, Leader: -4389.76, [F0: -1058.86, F1: -655.53] - ⏱ timeout
Episode  19, Steps:  212, Total: -1806.69, Leader: -1348.67, [F0: -248.97, F1: -209.05] - ✗ failure
Episode  20, Steps:    6, Total: -532.93, Leader: -525.67, [F0: -4.45, F1: -2.81] - ✗ failure
Episode  21, Steps:   15, Total: -598.55, Leader: -557.13, [F0: -14.48, F1: -26.94] - ✗ failure
Episode  22, Steps:   41, Total: -738.42, Leader: -670.93, [F0: -39.53, F1: -27.96] - ✗ failure
Episode  23, Steps:   11, Total: -561.39, Leader: -544.37, [F0: -10.57, F1: -6.46] - ✗ failure
Episode  24, Steps: 1000, Total: -2766.61, Leader: -1921.61, [F0: -325.38, F1: -519.62] - ⏱ timeout
Episode  25, Steps: 1000, Total: -3232.03, Leader: -2707.35, [F0: -59.01, F1: -465.67] - ⏱ timeout
Episode  26, Steps:    9, Total: -550.58, Leader: -538.99, [F0: -4.91, F1: -6.68] - ✗ failure
Episode  27, Steps:   29, Total: -653.12, Leader: -618.60, [F0: -20.75, F1: -13.77] - ✗ failure
Episode  28, Steps: 1000, Total: -2120.07, Leader: -1480.90, [F0: -461.21, F1: -177.95] - ⏱ timeout
Episode  29, Steps:   16, Total: -576.15, Leader: -556.96, [F0: -5.58, F1: -13.62] - ✗ failure
Episode  30, Steps: 1000, Total: -2709.78, Leader: -1954.87, [F0: -542.76, F1: -212.15] - ⏱ timeout
Episode  31, Steps:   11, Total: -566.65, Leader: -542.38, [F0: -7.30, F1: -16.97] - ✗ failure
Episode  32, Steps:   40, Total: -762.83, Leader: -667.47, [F0: -36.31, F1: -59.05] - ✗ failure
Episode  33, Steps: 1000, Total: -7623.79, Leader: -6169.70, [F0: -821.88, F1: -632.21] - ⏱ timeout
Episode  34, Steps:   14, Total: -578.12, Leader: -544.71, [F0: -7.60, F1: -25.82] - ✗ failure
Episode  35, Steps:    6, Total: -536.62, Leader: -527.76, [F0: -5.37, F1: -3.49] - ✗ failure
Episode  36, Steps:  168, Total:  627.20, Leader:  742.71, [F0: -71.69, F1: -43.82] - ✓ success
Episode  37, Steps: 1000, Total: -3029.46, Leader: -2200.75, [F0: -572.92, F1: -255.79] - ⏱ timeout
Episode  38, Steps: 1000, Total: -4862.86, Leader: -4130.15, [F0: -335.35, F1: -397.36] - ⏱ timeout
Episode  39, Steps:  342, Total:  457.15, Leader:  615.93, [F0: -121.51, F1: -37.27] - ✓ success
Episode  40, Steps: 1000, Total: -2344.17, Leader: -1731.77, [F0: -505.98, F1: -106.42] - ⏱ timeout
Episode  41, Steps: 1000, Total: -4742.16, Leader: -4404.96, [F0: -312.25, F1: -24.95] - ⏱ timeout
Episode  42, Steps:    9, Total: -546.68, Leader: -538.24, [F0: -4.97, F1: -3.47] - ✗ failure
Episode  43, Steps:  558, Total: -330.82, Leader:  -57.36, [F0: -232.07, F1: -41.40] - ✓ success
Episode  44, Steps:  378, Total:  394.98, Leader:  554.06, [F0: -136.91, F1: -22.17] - ✓ success
Episode  45, Steps:  308, Total:  290.49, Leader:  418.76, [F0: -117.66, F1: -10.60] - ✓ success
Episode  46, Steps: 1000, Total: -3856.26, Leader: -3381.22, [F0: -350.13, F1: -124.90] - ⏱ timeout
Episode  47, Steps:   35, Total: -678.14, Leader: -624.18, [F0: -42.03, F1: -11.93] - ✗ failure
Episode  48, Steps: 1000, Total: -3801.00, Leader: -3564.74, [F0: -199.37, F1: -36.90] - ⏱ timeout
Episode  49, Steps:  547, Total: -7946.19, Leader: -6230.46, [F0: -884.74, F1: -831.00] - ✗ failure
Episode  50, Steps: 1000, Total: -3419.49, Leader: -3324.02, [F0: -139.73, F1: 44.26] - ⏱ timeout
Episode  51, Steps:    6, Total: -528.53, Leader: -522.85, [F0: -1.97, F1: -3.71] - ✗ failure
Episode  52, Steps: 1000, Total: -3111.85, Leader: -3091.29, [F0: -154.53, F1: 133.98] - ⏱ timeout
Episode  53, Steps:   53, Total:  760.91, Leader:  840.19, [F0: -38.87, F1: -40.41] - ✓ success
Episode  54, Steps: 1000, Total: -3114.62, Leader: -2863.90, [F0: -157.58, F1: -93.14] - ⏱ timeout
Episode  55, Steps:    8, Total: -529.81, Leader: -529.68, [F0: -5.07, F1: 4.93] - ✗ failure
Episode  56, Steps:    6, Total: -529.15, Leader: -523.15, [F0: -1.62, F1: -4.38] - ✗ failure
Episode  57, Steps:  824, Total: -1969.20, Leader: -986.43, [F0: -574.58, F1: -408.20] - ✓ success
Episode  58, Steps:   62, Total:  741.03, Leader:  830.33, [F0: -33.80, F1: -55.49] - ✓ success
Episode  59, Steps:   11, Total: -558.72, Leader: -546.41, [F0: -6.76, F1: -5.55] - ✗ failure
Episode  60, Steps:   85, Total:  374.13, Leader:  530.42, [F0: -66.44, F1: -89.85] - ✓ success
Episode  61, Steps:   91, Total: -1034.46, Leader: -894.26, [F0: -90.96, F1: -49.24] - ✗ failure
Episode  62, Steps: 1000, Total: -10021.87, Leader: -5982.10, [F0: -2488.57, F1: -1551.20] - ⏱ timeout
Episode  63, Steps:  159, Total: -1329.71, Leader: -1158.83, [F0: -120.01, F1: -50.87] - ✗ failure
Episode  64, Steps:   32, Total: -671.24, Leader: -636.56, [F0: -35.42, F1: 0.74] - ✗ failure
Episode  65, Steps:  420, Total: -744.94, Leader: -265.71, [F0: -335.04, F1: -144.19] - ✓ success
Episode  66, Steps:   77, Total:  688.58, Leader:  742.28, [F0: -30.59, F1: -23.12] - ✓ success
Episode  67, Steps:   17, Total: -581.51, Leader: -572.75, [F0: -8.92, F1: 0.17] - ✗ failure
Episode  68, Steps:    7, Total: -535.57, Leader: -527.48, [F0: -4.38, F1: -3.71] - ✗ failure
Episode  69, Steps:   50, Total: -789.68, Leader: -712.85, [F0: -44.48, F1: -32.36] - ✗ failure
Episode  70, Steps:   27, Total: -652.77, Leader: -618.62, [F0: -22.79, F1: -11.37] - ✗ failure
Episode  71, Steps:  124, Total:  380.11, Leader:  586.12, [F0: -123.22, F1: -82.79] - ✓ success
Episode  72, Steps:  109, Total:  699.17, Leader:  822.37, [F0: -82.44, F1: -40.76] - ✓ success
Episode  73, Steps:   84, Total:  723.72, Leader:  794.30, [F0: -36.47, F1: -34.12] - ✓ success
Episode  74, Steps:  174, Total:   44.31, Leader:  232.42, [F0: -124.48, F1: -63.63] - ✓ success
Episode  75, Steps:   56, Total:  759.68, Leader:  847.82, [F0: -55.40, F1: -32.74] - ✓ success
Episode  76, Steps:  124, Total:  567.22, Leader:  685.56, [F0: -75.86, F1: -42.48] - ✓ success
Episode  77, Steps:  101, Total:  591.92, Leader:  748.30, [F0: -58.93, F1: -97.45] - ✓ success
Episode  78, Steps:   70, Total:  739.50, Leader:  811.94, [F0: -56.16, F1: -16.28] - ✓ success
Episode  79, Steps: 1000, Total: -7813.68, Leader: -4690.21, [F0: -2355.74, F1: -767.73] - ⏱ timeout
Episode  80, Steps:  290, Total: -925.10, Leader: -472.88, [F0: -256.47, F1: -195.76] - ✓ success
Episode  81, Steps: 1000, Total: -13351.85, Leader: -11131.24, [F0: -1044.39, F1: -1176.22] - ⏱ timeout
Episode  82, Steps:    7, Total: -535.58, Leader: -529.05, [F0: -2.82, F1: -3.71] - ✗ failure
Episode  83, Steps:   55, Total:  765.03, Leader:  825.07, [F0: -39.62, F1: -20.42] - ✓ success
Episode  84, Steps:   85, Total:  565.36, Leader:  693.50, [F0: -72.47, F1: -55.67] - ✓ success
Episode  85, Steps:   52, Total:  822.74, Leader:  857.49, [F0: -31.85, F1: -2.90] - ✓ success
Episode  86, Steps:   88, Total:   92.91, Leader:  387.17, [F0: -160.01, F1: -134.25] - ✓ success
Episode  87, Steps:   90, Total:  569.46, Leader:  683.02, [F0: -49.31, F1: -64.26] - ✓ success
Episode  88, Steps:   94, Total:  558.07, Leader:  700.28, [F0: -61.12, F1: -81.09] - ✓ success
Episode  89, Steps:   53, Total:  806.97, Leader:  847.66, [F0: -23.11, F1: -17.59] - ✓ success
Episode  90, Steps:   19, Total: -597.37, Leader: -579.80, [F0: -16.57, F1: -1.00] - ✗ failure
Episode  91, Steps:  700, Total: -5867.77, Leader: -4700.34, [F0: -662.57, F1: -504.86] - ✓ success
Episode  92, Steps:   63, Total:  748.53, Leader:  801.30, [F0: -34.55, F1: -18.21] - ✓ success
Episode  93, Steps: 1000, Total: -9234.65, Leader: -7927.78, [F0: -781.98, F1: -524.88] - ⏱ timeout
Episode  94, Steps: 1000, Total: -3839.68, Leader: -3006.09, [F0: -696.07, F1: -137.52] - ⏱ timeout
Episode  95, Steps:   38, Total:  875.28, Leader:  905.02, [F0: -25.78, F1: -3.95] - ✓ success
Episode  96, Steps:   37, Total:  878.03, Leader:  906.73, [F0: -15.24, F1: -13.46] - ✓ success
Episode  97, Steps:  464, Total: -3113.96, Leader: -2029.10, [F0: -653.19, F1: -431.66] - ✗ failure
Episode  98, Steps:   76, Total:  591.65, Leader:  700.39, [F0: -59.74, F1: -49.00] - ✓ success
Episode  99, Steps: 1000, Total: -3026.69, Leader: -2242.22, [F0: -734.82, F1: -49.65] - ⏱ timeout
Episode 100, Steps:   68, Total:  705.64, Leader:  761.66, [F0: -31.99, F1: -24.03] - ✓ success
Episode 101, Steps:   42, Total:  844.18, Leader:  893.66, [F0: -41.64, F1: -7.85] - ✓ success
Episode 102, Steps:   83, Total:  699.28, Leader:  751.18, [F0: -39.50, F1: -12.40] - ✓ success
Episode 103, Steps:  183, Total:  -82.40, Leader:  206.55, [F0: -188.32, F1: -100.63] - ✓ success
Episode 104, Steps:   41, Total:  845.14, Leader:  897.20, [F0: -43.38, F1: -8.68] - ✓ success
Episode 105, Steps:   12, Total: -572.10, Leader: -550.84, [F0: -10.75, F1: -10.51] - ✗ failure
Episode 106, Steps:   67, Total:  652.23, Leader:  750.01, [F0: -69.66, F1: -28.12] - ✓ success
Episode 107, Steps:   33, Total:  871.71, Leader:  920.83, [F0: -21.55, F1: -27.58] - ✓ success
Episode 108, Steps:   49, Total:  847.69, Leader:  869.91, [F0: -9.35, F1: -12.87] - ✓ success
Episode 109, Steps:  953, Total: -6237.19, Leader: -4129.93, [F0: -1722.42, F1: -384.85] - ✓ success
Episode 110, Steps:   86, Total:  674.94, Leader:  748.20, [F0: -43.03, F1: -30.24] - ✓ success
Episode 111, Steps:  977, Total: -11552.15, Leader: -10046.05, [F0: -880.28, F1: -625.83] - ✓ success
Episode 112, Steps:    6, Total: -527.59, Leader: -524.68, [F0: 1.40, F1: -4.31] - ✗ failure
Episode 113, Steps:   41, Total:  827.36, Leader:  881.10, [F0: -31.38, F1: -22.36] - ✓ success
Episode 114, Steps:   49, Total:  850.14, Leader:  878.10, [F0: 0.10, F1: -28.06] - ✓ success
Episode 115, Steps:   72, Total:  727.01, Leader:  769.87, [F0: -32.64, F1: -10.22] - ✓ success
Episode 116, Steps:   50, Total: -759.15, Leader: -697.52, [F0: -53.52, F1: -8.11] - ✗ failure
Episode 117, Steps:   50, Total:  828.85, Leader:  860.26, [F0: -15.94, F1: -15.47] - ✓ success
Episode 118, Steps:    9, Total: -543.61, Leader: -536.24, [F0: -4.78, F1: -2.59] - ✗ failure
Episode 119, Steps:   71, Total:  451.98, Leader:  542.24, [F0: -30.72, F1: -59.54] - ✓ success
Episode 120, Steps:   60, Total:  745.63, Leader:  814.33, [F0: -46.23, F1: -22.47] - ✓ success
Episode 121, Steps:   67, Total:  725.64, Leader:  793.91, [F0: -34.97, F1: -33.29] - ✓ success
Episode 122, Steps:   20, Total: -585.15, Leader: -576.57, [F0: -5.00, F1: -3.58] - ✗ failure
Episode 123, Steps:   40, Total:  822.76, Leader:  897.54, [F0: -51.96, F1: -22.81] - ✓ success
Episode 124, Steps:   46, Total:  834.39, Leader:  872.72, [F0: -28.75, F1: -9.58] - ✓ success
Episode 125, Steps:   46, Total:  811.46, Leader:  869.76, [F0: -39.05, F1: -19.26] - ✓ success
Episode 126, Steps:   34, Total:  909.78, Leader:  925.99, [F0: -13.60, F1: -2.61] - ✓ success
Episode 127, Steps:   32, Total:  891.03, Leader:  934.23, [F0: -43.46, F1: 0.27] - ✓ success
Episode 128, Steps:   31, Total:  883.71, Leader:  929.79, [F0: -25.16, F1: -20.92] - ✓ success
Episode 129, Steps:   61, Total:  691.26, Leader:  789.24, [F0: -82.18, F1: -15.80] - ✓ success
Episode 130, Steps:   34, Total:  867.62, Leader:  922.19, [F0: -43.54, F1: -11.03] - ✓ success
Episode 131, Steps:   64, Total:  736.50, Leader:  806.01, [F0: -45.56, F1: -23.95] - ✓ success
Episode 132, Steps:   47, Total:  840.33, Leader:  874.42, [F0: -21.71, F1: -12.38] - ✓ success
Episode 133, Steps:   71, Total:  767.02, Leader:  832.50, [F0: -33.20, F1: -32.28] - ✓ success
Episode 134, Steps:   43, Total:  862.71, Leader:  890.63, [F0: -24.71, F1: -3.22] - ✓ success
Episode 135, Steps:   44, Total:  851.95, Leader:  890.34, [F0: -46.15, F1: 7.76] - ✓ success
Episode 136, Steps:   39, Total:  886.26, Leader:  907.49, [F0: -16.37, F1: -4.86] - ✓ success
Episode 137, Steps:   37, Total:  836.41, Leader:  913.13, [F0: -62.09, F1: -14.63] - ✓ success
Episode 138, Steps:   49, Total:  825.26, Leader:  879.34, [F0: -36.72, F1: -17.37] - ✓ success
Episode 139, Steps:   46, Total:  840.17, Leader:  874.49, [F0: -25.99, F1: -8.32] - ✓ success
Episode 140, Steps:   61, Total:  775.23, Leader:  826.08, [F0: -38.81, F1: -12.05] - ✓ success
Episode 141, Steps:   54, Total:  798.10, Leader:  842.15, [F0: -30.96, F1: -13.09] - ✓ success
Episode 142, Steps:   32, Total:  896.67, Leader:  929.70, [F0: -30.81, F1: -2.22] - ✓ success
Episode 143, Steps:   36, Total:  910.64, Leader:  923.25, [F0: -8.75, F1: -3.86] - ✓ success
Episode 144, Steps:   47, Total:  849.30, Leader:  883.92, [F0: -30.19, F1: -4.42] - ✓ success
Episode 145, Steps:   67, Total:  773.43, Leader:  842.74, [F0: -37.59, F1: -31.72] - ✓ success
Episode 146, Steps:   30, Total:  916.17, Leader:  940.96, [F0: -18.03, F1: -6.76] - ✓ success
Episode 147, Steps:   62, Total:  753.76, Leader:  800.91, [F0: -38.57, F1: -8.58] - ✓ success
Episode 148, Steps:   46, Total:  872.38, Leader:  890.66, [F0: -17.59, F1: -0.69] - ✓ success
Episode 149, Steps:   61, Total:  818.14, Leader:  824.22, [F0: -2.33, F1: -3.76] - ✓ success
Episode 150, Steps:   44, Total:  862.03, Leader:  888.38, [F0: -16.99, F1: -9.35] - ✓ success
Episode 151, Steps:   54, Total:  816.17, Leader:  848.94, [F0: -23.73, F1: -9.03] - ✓ success
Episode 152, Steps:   29, Total: -670.26, Leader: -613.28, [F0: -51.24, F1: -5.75] - ✗ failure
Episode 153, Steps:  131, Total: -1049.33, Leader: -957.11, [F0: -72.06, F1: -20.16] - ✗ failure
Episode 154, Steps:   79, Total:  676.94, Leader:  741.53, [F0: -44.60, F1: -19.98] - ✓ success
Episode 155, Steps:   36, Total:  851.85, Leader:  897.49, [F0: -37.46, F1: -8.18] - ✓ success
Episode 156, Steps:   49, Total:  858.99, Leader:  872.16, [F0: -12.54, F1: -0.63] - ✓ success
Episode 157, Steps:   40, Total:  858.12, Leader:  903.33, [F0: -26.67, F1: -18.54] - ✓ success
Episode 158, Steps:   52, Total:  805.97, Leader:  859.99, [F0: -42.17, F1: -11.85] - ✓ success
