
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 3 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/training_20251025_160828.log
============================================================

Episode   0, Steps:   62, Total: -333.11, Leader:  522.82, [F0: -138.30, F1: -617.61, F2: -100.02] - ✓ success
Episode   1, Steps:   63, Total: -1708.04, Leader: -863.27, [F0: -212.92, F1: -383.15, F2: -248.69] - ✗ failure
Episode   2, Steps:  212, Total: -3395.88, Leader:   84.11, [F0: -1446.66, F1: -1571.25, F2: -462.07] - ✓ success
Episode   3, Steps: 1000, Total: -22898.46, Leader: -6252.24, [F0: -6587.25, F1: -5219.52, F2: -4839.45] - ⏱ timeout
Episode   4, Steps:  168, Total: -3463.37, Leader: -1736.91, [F0: -728.31, F1: -458.20, F2: -539.95] - ✗ failure
Episode   5, Steps: 1000, Total: -25962.29, Leader: -7217.82, [F0: -8292.13, F1: -6161.98, F2: -4290.36] - ⏱ timeout
Episode   6, Steps:   94, Total: -2914.75, Leader: -1397.94, [F0: -627.41, F1: -602.01, F2: -287.39] - ✗ failure
Episode   7, Steps: 1000, Total: -24228.01, Leader: -9198.20, [F0: -8632.98, F1: -3148.02, F2: -3248.81] - ⏱ timeout
Episode   8, Steps:  643, Total: -10478.55, Leader: -5378.59, [F0: -1444.93, F1: -1932.48, F2: -1722.55] - ✗ failure
Episode   9, Steps: 1000, Total: -21297.87, Leader: -11026.16, [F0: -2879.65, F1: -2498.05, F2: -4894.01] - ⏱ timeout
Episode  10, Steps: 1000, Total: -21555.52, Leader: -15713.71, [F0: -2121.89, F1: -1788.45, F2: -1931.47] - ⏱ timeout
Episode  11, Steps: 1000, Total: -26067.64, Leader: -15392.36, [F0: -2131.67, F1: -4658.49, F2: -3885.12] - ⏱ timeout
Episode  12, Steps: 1000, Total: -25046.92, Leader: -14760.85, [F0: -2258.69, F1: -2405.96, F2: -5621.42] - ⏱ timeout
Episode  13, Steps:   99, Total: -488.22, Leader:  226.91, [F0: -123.11, F1: -265.58, F2: -326.44] - ✓ success
Episode  14, Steps:  410, Total: -7388.94, Leader: -3938.31, [F0: -1168.58, F1: -1407.58, F2: -874.47] - ✓ success
Episode  15, Steps: 1000, Total: -19575.09, Leader: -12345.89, [F0: -2054.67, F1: -3161.86, F2: -2012.68] - ⏱ timeout
Episode  16, Steps:    5, Total: -532.46, Leader: -521.31, [F0: -4.10, F1: -3.94, F2: -3.11] - ✗ failure
Episode  17, Steps:  702, Total: -7933.48, Leader: -4746.12, [F0: -873.50, F1: -1000.76, F2: -1313.09] - ✗ failure
Episode  18, Steps: 1000, Total: -13553.96, Leader: -8320.34, [F0: -1656.18, F1: -1599.83, F2: -1977.61] - ⏱ timeout
Episode  19, Steps:  607, Total: -7771.01, Leader: -4719.91, [F0: -915.14, F1: -1078.95, F2: -1057.01] - ✓ success
Episode  20, Steps:    6, Total: -538.31, Leader: -526.75, [F0: -4.69, F1: -2.07, F2: -4.79] - ✗ failure
Episode  21, Steps: 1000, Total: -14668.14, Leader: -8382.28, [F0: -1613.32, F1: -2205.58, F2: -2466.96] - ⏱ timeout
Episode  22, Steps: 1000, Total: -11887.54, Leader: -7192.23, [F0: -2007.78, F1: -1259.23, F2: -1428.31] - ⏱ timeout
Episode  23, Steps: 1000, Total: -14503.97, Leader: -10600.55, [F0: -1398.57, F1: -1408.60, F2: -1096.25] - ⏱ timeout
Episode  24, Steps: 1000, Total: -15984.43, Leader: -11209.14, [F0: -1731.49, F1: -1800.52, F2: -1243.29] - ⏱ timeout
Episode  25, Steps: 1000, Total: -20870.65, Leader: -15851.58, [F0: -1618.07, F1: -1852.60, F2: -1548.40] - ⏱ timeout
Episode  26, Steps:   15, Total: -611.94, Leader: -561.58, [F0: -13.13, F1: -26.23, F2: -11.00] - ✗ failure
Episode  27, Steps: 1000, Total: -21471.62, Leader: -15084.83, [F0: -2025.33, F1: -2427.06, F2: -1934.40] - ⏱ timeout
Episode  28, Steps:   47, Total:  749.31, Leader:  853.69, [F0: -35.87, F1: -31.34, F2: -37.17] - ✓ success
Episode  29, Steps: 1000, Total: -21060.04, Leader: -14401.93, [F0: -2356.52, F1: -2238.96, F2: -2062.63] - ⏱ timeout
Episode  30, Steps: 1000, Total: -19556.94, Leader: -13144.05, [F0: -1649.43, F1: -2561.89, F2: -2201.57] - ⏱ timeout
Episode  31, Steps: 1000, Total: -12788.20, Leader: -7921.00, [F0: -1212.55, F1: -1531.12, F2: -2123.52] - ⏱ timeout
Episode  32, Steps: 1000, Total: -18698.21, Leader: -12559.44, [F0: -2001.36, F1: -2640.03, F2: -1497.39] - ⏱ timeout
Episode  33, Steps:    7, Total: -547.18, Leader: -530.87, [F0: -6.01, F1: -6.11, F2: -4.19] - ✗ failure
Episode  34, Steps:    8, Total: -539.83, Leader: -529.28, [F0: -1.77, F1: -4.65, F2: -4.13] - ✗ failure
Episode  35, Steps: 1000, Total: -13353.18, Leader: -8966.38, [F0: -1169.24, F1: -895.99, F2: -2321.57] - ⏱ timeout
Episode  36, Steps: 1000, Total: -6003.51, Leader: -3358.08, [F0: -550.47, F1: -621.74, F2: -1473.23] - ⏱ timeout
Episode  37, Steps: 1000, Total: -7714.92, Leader: -3431.01, [F0: -1072.45, F1: -1010.58, F2: -2200.88] - ⏱ timeout
Episode  38, Steps:   97, Total:  235.84, Leader:  578.04, [F0: -104.04, F1: -82.49, F2: -155.67] - ✓ success
Episode  39, Steps:  321, Total: -4171.73, Leader: -3341.29, [F0: -312.69, F1: -231.97, F2: -285.78] - ✗ failure
Episode  40, Steps:  239, Total: -2980.86, Leader: -1464.13, [F0: -311.92, F1: -505.32, F2: -699.49] - ✓ success
Episode  41, Steps:   82, Total: -1009.63, Leader: -769.80, [F0: -63.40, F1: -54.66, F2: -121.77] - ✗ failure
Episode  42, Steps:  120, Total: -875.18, Leader: -173.79, [F0: -205.37, F1: -171.88, F2: -324.14] - ✓ success
Episode  43, Steps:  922, Total: -8226.82, Leader: -4087.15, [F0: -887.01, F1: -1661.71, F2: -1590.95] - ✓ success
Episode  44, Steps: 1000, Total: -14809.39, Leader: -10447.40, [F0: -1280.08, F1: -1295.17, F2: -1786.74] - ⏱ timeout
Episode  45, Steps: 1000, Total: -10888.42, Leader: -5671.28, [F0: -1188.08, F1: -2076.73, F2: -1952.33] - ⏱ timeout
Episode  46, Steps:  471, Total: -3349.42, Leader: -2411.39, [F0: -322.99, F1: -290.04, F2: -324.99] - ✗ failure
Episode  47, Steps: 1000, Total: -13942.31, Leader: -7933.33, [F0: -1458.65, F1: -1821.26, F2: -2729.07] - ⏱ timeout
Episode  48, Steps:  909, Total: -7915.10, Leader: -4237.22, [F0: -858.41, F1: -1271.76, F2: -1547.71] - ✗ failure
Episode  49, Steps:  192, Total: -1416.16, Leader: -1025.67, [F0: -90.31, F1: -82.92, F2: -217.26] - ✗ failure
Episode  50, Steps:   35, Total:  846.73, Leader:  898.06, [F0: -20.34, F1: -14.40, F2: -16.59] - ✓ success
Episode  51, Steps:   50, Total:  717.85, Leader:  830.76, [F0: -23.11, F1: -33.11, F2: -56.69] - ✓ success
Episode  52, Steps:   40, Total:  772.27, Leader:  863.10, [F0: -21.33, F1: -45.06, F2: -24.44] - ✓ success
Episode  53, Steps:  407, Total: -1311.11, Leader: -400.34, [F0: -219.01, F1: -252.50, F2: -439.26] - ✓ success
