
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode   0, Steps:    5, Total: -540.88, Leader: -523.97, [F0: -4.53, F1: -3.26, F2: -4.69, F3: -4.42] - ✗ failure
Episode   1, Steps: 1000, Total: -28898.26, Leader: -8433.46, [F0: -5823.25, F1: -5268.13, F2: -5210.18, F3: -4163.24] - ⏱ timeout
Episode   2, Steps:  596, Total: -11265.01, Leader: -4946.82, [F0: -2115.83, F1: -1678.64, F2: -2016.32, F3: -507.40] - ✗ failure
Episode   3, Steps: 1000, Total: -34032.27, Leader: -9171.26, [F0: -5522.49, F1: -5774.84, F2: -5927.72, F3: -7635.96] - ⏱ timeout
Episode   4, Steps: 1000, Total: -23474.39, Leader: -5171.49, [F0: -5644.34, F1: -3117.99, F2: -3031.79, F3: -6508.78] - ⏱ timeout
Episode   5, Steps:  190, Total: -5017.43, Leader: -1321.12, [F0: -2074.51, F1: -933.61, F2: -308.32, F3: -379.88] - ✗ failure
Episode   6, Steps:   47, Total: -1763.49, Leader: -722.21, [F0: -381.22, F1: -137.66, F2: -45.78, F3: -476.61] - ✗ failure
Episode   7, Steps: 1000, Total: -23522.99, Leader: -4992.62, [F0: -6067.10, F1: -8312.56, F2: -882.30, F3: -3268.41] - ⏱ timeout
Episode   8, Steps:    8, Total: -563.50, Leader: -535.22, [F0: -6.88, F1: -6.93, F2: -7.25, F3: -7.22] - ✗ failure
Episode   9, Steps:   25, Total: -813.27, Leader: -618.50, [F0: -105.85, F1: -37.44, F2: -38.40, F3: -13.08] - ✗ failure
Episode  10, Steps:  835, Total: -22334.21, Leader: -11085.74, [F0: -5813.96, F1: -1023.64, F2: -1579.04, F3: -2831.83] - ✗ failure
Episode  11, Steps: 1000, Total: -27111.79, Leader: -11451.40, [F0: -2134.11, F1: -5941.63, F2: -1389.89, F3: -6194.77] - ⏱ timeout
Episode  12, Steps: 1000, Total: -18063.49, Leader: -8807.61, [F0: -1947.10, F1: -2296.05, F2: -1471.63, F3: -3541.11] - ⏱ timeout
Episode  13, Steps: 1000, Total: -14353.27, Leader: -7839.99, [F0: -1446.99, F1: -2810.01, F2: -916.90, F3: -1339.38] - ⏱ timeout
Episode  14, Steps: 1000, Total: -15713.98, Leader: -10097.54, [F0: -1970.14, F1: -1762.94, F2: -724.86, F3: -1158.49] - ⏱ timeout
Episode  15, Steps: 1000, Total: -23722.64, Leader: -11559.90, [F0: -2031.23, F1: -2047.01, F2: -2919.32, F3: -5165.18] - ⏱ timeout
Episode  16, Steps: 1000, Total: -18333.48, Leader: -9411.86, [F0: -1667.71, F1: -2008.72, F2: -3230.58, F3: -2014.61] - ⏱ timeout
Episode  17, Steps: 1000, Total: -8140.54, Leader: -4105.36, [F0: -1000.01, F1: -1197.95, F2: -867.39, F3: -969.82] - ⏱ timeout
Episode  18, Steps: 1000, Total: -9485.47, Leader: -2309.70, [F0: -1081.12, F1: -1800.38, F2: -3093.93, F3: -1200.33] - ⏱ timeout
Episode  19, Steps: 1000, Total: -10216.10, Leader: -2991.12, [F0: -1112.81, F1: -2030.49, F2: -1781.24, F3: -2300.44] - ⏱ timeout
Episode  20, Steps:   16, Total: -630.87, Leader: -555.37, [F0: -10.03, F1: -31.07, F2: -19.90, F3: -14.49] - ✗ failure
Episode  21, Steps:   10, Total: -576.81, Leader: -547.38, [F0: -7.20, F1: -8.50, F2: -6.40, F3: -7.33] - ✗ failure
Episode  22, Steps:   54, Total:  621.96, Leader:  861.04, [F0: -63.84, F1: -54.86, F2: -46.95, F3: -73.44] - ✓ success
Episode  23, Steps:    7, Total: -536.96, Leader: -525.43, [F0: -3.00, F1: -2.26, F2: -3.02, F3: -3.24] - ✗ failure
Episode  24, Steps:  180, Total: -362.99, Leader:  515.35, [F0: -226.14, F1: -201.80, F2: -223.93, F3: -226.47] - ✓ success
Episode  25, Steps: 1000, Total: -14773.02, Leader: -7721.39, [F0: -2344.93, F1: -902.38, F2: -1867.41, F3: -1936.92] - ⏱ timeout
Episode  26, Steps: 1000, Total: -15532.90, Leader: -7773.52, [F0: -2057.87, F1: -1958.04, F2: -1460.95, F3: -2282.52] - ⏱ timeout
Episode  27, Steps: 1000, Total: -8589.06, Leader: -3542.84, [F0: -1154.81, F1: -881.63, F2: -1645.31, F3: -1364.47] - ⏱ timeout
Episode  28, Steps:  136, Total: -1359.21, Leader: -1001.05, [F0: -140.81, F1: -81.97, F2: -34.59, F3: -100.79] - ✗ failure
Episode  29, Steps: 1000, Total: -21164.76, Leader: -12943.16, [F0: -1804.65, F1: -2055.96, F2: -1712.90, F3: -2648.08] - ⏱ timeout
Episode  30, Steps:   70, Total: -989.05, Leader: -739.40, [F0: -45.17, F1: -61.21, F2: -74.83, F3: -68.44] - ✗ failure
