📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_012714/training.log
💡 训练输出将实时保存到日志文件
SAC训练中...
📊 使用优先级经验回放（PER）:
  - alpha: 0.6 (优先级指数)
  - beta: 0.4 → 1.0 (重要性采样权重)

================================================================================
  Episode    |    Leader    |   Follower   |    Steps     |    Status   
================================================================================
     0       |    937.18    |    -40.46    |      56      |  ✅ Success  
     1       |    290.00    |   -505.65    |     611      |  ✅ Success  
     2       |    592.17    |   -229.64    |     292      |  ✅ Success  
     3       |    785.03    |   -122.67    |     149      |  ✅ Success  
     4       |   -506.00    |    -0.60     |      5       |  ❌ Failure  
     5       |    752.32    |   -184.37    |     210      |  ✅ Success  
     6       |   -1275.40   |   -395.77    |     569      |  ❌ Failure  
     7       |   -879.99    |   -133.67    |     261      |  ❌ Failure  
     8       |    535.22    |   -183.30    |     303      |  ✅ Success  
     9       |    352.48    |   -359.86    |     479      |  ✅ Success  
     10      |    913.30    |    -78.19    |      74      |  ✅ Success  
     11      |    512.67    |   -342.87    |     389      |  ✅ Success  
     12      |   -1346.11   |   -975.56    |     1000     | ⏱️  Timeout 
     13      |    880.80    |    -97.29    |     150      |  ✅ Success  
     14      |    589.86    |   -141.53    |     316      |  ✅ Success  
     15      |   -728.68    |   -141.52    |     206      |  ❌ Failure  
     16      |   -1007.30   |   -381.58    |     507      |  ❌ Failure  
     17      |   -1508.46   |   -899.32    |     1000     | ⏱️  Timeout 
     18      |   -609.24    |    -88.82    |     105      |  ❌ Failure  
     19      |   -506.39    |    -2.47     |      7       |  ❌ Failure  
     20      |   -998.98    |   -861.56    |     1000     | ⏱️  Timeout 
     21      |    213.75    |   -470.81    |     509      |  ✅ Success  
     22      |    728.22    |   -197.21    |     181      |  ✅ Success  
     23      |   -524.69    |    -34.52    |      34      |  ❌ Failure  
     24      |    950.46    |    -52.52    |      67      |  ✅ Success  
     25      |   -1333.98   |   -551.09    |     610      |  ❌ Failure  
