📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_014044/training.log
💡 训练输出将实时保存到日志文件
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |   Follower   |    Steps     |    Status   
================================================================================
     0       |   -1533.45   |   -947.18    |     1000     | ⏱️  Timeout 
     1       |    514.91    |   -350.61    |     432      |  ✅ Success  
     2       |   -1224.81   |   -526.25    |     657      |  ❌ Failure  
     3       |   -508.07    |    -0.88     |      11      |  ❌ Failure  
     4       |   -544.70    |    -46.40    |      46      |  ❌ Failure  
     5       |   -531.19    |    -22.77    |      32      |  ❌ Failure  
     6       |    331.81    |   -516.36    |     563      |  ✅ Success  
     7       |   -1122.07   |   -799.14    |     1000     | ⏱️  Timeout 
     8       |    782.68    |    -90.51    |     186      |  ✅ Success  
