📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_205148/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
================================================================================
     0       |   -512.07    |    -4.61     |    -4.44     |      4       |  ❌ Failure  
     1       |    367.96    |   -346.15    |   -273.69    |     172      |  ✅ Success  
     2       |   -648.06    |    -74.75    |    -92.33    |      57      |  ❌ Failure  
     3       |   -562.02    |    -39.04    |    -23.77    |      21      |  ❌ Failure  
     4       |   -5356.36   |   -2105.69   |   -1837.24   |     1000     | ⏱️  Timeout 
     5       |   -521.01    |    -9.55     |    -7.87     |      7       |  ❌ Failure  
     6       |   -1990.12   |   -655.69    |   -579.47    |     295      |  ❌ Failure  
     7       |   -681.47    |    -66.86    |    -76.20    |      56      |  ❌ Failure  
     8       |   -2770.25   |   -997.01    |   -940.59    |     538      |  ❌ Failure  
     9       |   -4613.01   |   -1894.70   |   -1921.33   |     1000     | ⏱️  Timeout 
     10      |   -4761.97   |   -1693.42   |   -1917.98   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 10]: Actor Loss=35.3279, Critic Loss=105.0990, Alpha=0.4372, TD-error=5.4513, Beta=1.0000
     11      |   -1483.32   |   -406.22    |   -351.19    |     217      |  ❌ Failure  
     12      |   -4896.40   |   -1815.71   |   -1791.01   |     1000     | ⏱️  Timeout 
     13      |   -519.72    |    -6.69     |    -7.16     |      6       |  ❌ Failure  
     14      |   -4454.26   |   -1823.00   |   -1909.71   |     1000     | ⏱️  Timeout 
     15      |   -5113.43   |   -1868.30   |   -1706.81   |     1000     | ⏱️  Timeout 
     16      |   -5019.79   |   -2060.93   |   -1876.61   |     1000     | ⏱️  Timeout 
     17      |   -5203.22   |   -2084.05   |   -2095.38   |     1000     | ⏱️  Timeout 
     18      |   -4291.53   |   -1803.20   |   -1752.37   |     1000     | ⏱️  Timeout 
     19      |   -4838.99   |   -1892.46   |   -1721.23   |     1000     | ⏱️  Timeout 
     20      |   -1057.29   |   -741.55    |   -877.78    |     489      |  ✅ Success  
  📊 统计 [Ep 20]: Actor Loss=39.7150, Critic Loss=89.7065, Alpha=0.0779, TD-error=3.0204, Beta=1.0000
     21      |   -4336.19   |   -1837.95   |   -1881.09   |     1000     | ⏱️  Timeout 
     22      |   -4564.30   |   -1822.61   |   -1444.87   |     1000     | ⏱️  Timeout 
     23      |   -4293.07   |   -1644.35   |   -1359.15   |     1000     | ⏱️  Timeout 
     24      |   -3993.58   |   -1551.84   |   -1513.82   |     1000     | ⏱️  Timeout 
     25      |   -579.58    |    -34.45    |    -29.00    |      23      |  ❌ Failure  
     26      |   -4500.00   |   -1791.02   |   -1352.57   |     1000     | ⏱️  Timeout 
     27      |   -575.61    |    -33.78    |    -36.17    |      25      |  ❌ Failure  
     28      |   -178.00    |   -560.25    |   -515.76    |     357      |  ✅ Success  
     29      |   -270.37    |   -665.02    |   -545.84    |     367      |  ✅ Success  
     30      |   -4063.72   |   -1541.02   |   -1559.09   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 30]: Actor Loss=38.7060, Critic Loss=242.4793, Alpha=0.0282, TD-error=6.0847, Beta=1.0000
     31      |   -3141.90   |   -973.34    |   -850.76    |     665      |  ❌ Failure  
     32      |    -90.87    |   -493.96    |   -534.03    |     395      |  ✅ Success  
     33      |   -4158.58   |   -1585.19   |   -1505.10   |     1000     | ⏱️  Timeout 
     34      |   -4606.26   |   -1371.71   |   -1326.23   |     1000     | ⏱️  Timeout 
     35      |   -4079.46   |   -1600.57   |   -1283.52   |     1000     | ⏱️  Timeout 
     36      |   -4147.29   |   -1399.89   |   -1404.59   |     1000     | ⏱️  Timeout 
     37      |   -4634.73   |   -1402.78   |   -1376.34   |     1000     | ⏱️  Timeout 
     38      |   -4326.40   |   -1341.98   |   -1330.15   |     1000     | ⏱️  Timeout 
     39      |   -1150.53   |   -246.47    |   -221.62    |     186      |  ❌ Failure  
     40      |   -3466.60   |   -1390.95   |   -1332.58   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 40]: Actor Loss=28.1103, Critic Loss=24.9044, Alpha=0.0177, TD-error=1.7031, Beta=1.0000
     41      |   -3767.62   |   -1482.63   |   -1522.75   |     937      |  ✅ Success  
     42      |    804.65    |    -71.17    |    -67.85    |      59      |  ✅ Success  
     43      |   -3079.29   |   -1213.86   |   -1370.31   |     1000     | ⏱️  Timeout 
     44      |   -2948.74   |   -1245.98   |   -1487.97   |     1000     | ⏱️  Timeout 
     45      |    937.06    |    -32.30    |    -33.53    |      30      |  ✅ Success  
     46      |   -533.94    |    -12.52    |    -12.33    |      11      |  ❌ Failure  
     47      |   -553.27    |    -19.30    |    -23.58    |      18      |  ❌ Failure  
     48      |    933.37    |    -41.00    |    -33.39    |      31      |  ✅ Success  
     49      |   -537.28    |    -18.09    |    -18.32    |      13      |  ❌ Failure  
     50      |    942.07    |    -30.84    |    -28.06    |      25      |  ✅ Success  
  📊 统计 [Ep 50]: Actor Loss=23.8911, Critic Loss=38.2577, Alpha=0.0234, TD-error=3.6541, Beta=1.0000
     51      |   -524.71    |    -9.92     |    -9.65     |      9       |  ❌ Failure  
     52      |   -3116.80   |   -1304.78   |   -1389.77   |     1000     | ⏱️  Timeout 
     53      |   -3291.39   |   -1379.51   |   -1401.54   |     1000     | ⏱️  Timeout 
     54      |   -4038.55   |   -1518.80   |   -1565.91   |     1000     | ⏱️  Timeout 
     55      |   -4290.43   |   -1336.41   |   -1390.19   |     1000     | ⏱️  Timeout 
     56      |   -517.24    |    -6.87     |    -7.26     |      6       |  ❌ Failure  
     57      |   -3943.23   |   -1059.61   |   -1020.97   |     809      |  ❌ Failure  
     58      |   -3851.25   |   -1445.29   |   -1415.06   |     1000     | ⏱️  Timeout 
     59      |   -3820.68   |   -1499.89   |   -1347.50   |     1000     | ⏱️  Timeout 
     60      |   -523.68    |   -614.33    |   -640.14    |     485      |  ✅ Success  
  📊 统计 [Ep 60]: Actor Loss=29.2956, Critic Loss=77.8546, Alpha=0.0471, TD-error=4.7828, Beta=1.0000
     61      |   -3487.96   |   -1249.97   |   -1342.00   |     1000     | ⏱️  Timeout 
     62      |   -3324.38   |   -1260.70   |   -1229.23   |     1000     | ⏱️  Timeout 
     63      |    935.68    |    -29.79    |    -30.22    |      27      |  ✅ Success  
     64      |   -2934.17   |   -1254.63   |   -1218.06   |     1000     | ⏱️  Timeout 
     65      |    872.30    |    -65.23    |    -64.36    |      60      |  ✅ Success  
     66      |    929.41    |    -34.06    |    -37.59    |      33      |  ✅ Success  
     67      |   -1311.91   |   -864.63    |   -916.44    |     666      |  ✅ Success  
     68      |    928.90    |    -31.96    |    -32.39    |      29      |  ✅ Success  
     69      |    826.87    |    -75.31    |    -89.27    |      64      |  ✅ Success  
     70      |    786.08    |   -100.17    |   -101.42    |      79      |  ✅ Success  
