📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_203720/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |    Steps     |    Status   
================================================================================
     0       |   -545.98    |    -8.00     |    -7.41     |    -8.10     |      6       |  ❌ Failure  
     1       |   -678.76    |    -21.18    |    -34.13    |    -34.12    |      17      |  ❌ Failure  
     2       |   -3922.89   |   -508.63    |   -596.77    |   -498.85    |     201      |  ❌ Failure  
     3       |   -786.83    |    -88.01    |    -58.67    |    -64.64    |      31      |  ❌ Failure  
     4       |   -2763.75   |   -717.44    |   -1075.99   |   -1125.80   |     344      |  ✅ Success  
     5       |   -8092.80   |   -1410.09   |   -1377.35   |   -1587.20   |     582      |  ❌ Failure  
     6       |   -2182.54   |   -250.15    |   -383.58    |   -266.22    |     125      |  ❌ Failure  
     7       |   -1352.74   |   -127.46    |   -120.00    |   -176.80    |      78      |  ❌ Failure  
     8       |   -659.25    |    -24.97    |    -30.14    |    -31.24    |      16      |  ❌ Failure  
     9       |   -1761.86   |   -236.21    |   -197.12    |   -264.80    |     101      |  ❌ Failure  
     10      |  -13872.31   |   -2443.65   |   -3010.87   |   -2732.39   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 10]: Actor Loss=60.0479, Critic Loss=98.3118, Alpha=0.6296, TD-error=4.6706, Beta=1.0000
     11      |  -15600.62   |   -3162.04   |   -4095.35   |   -3319.56   |     1000     | ⏱️  Timeout 
     12      |  -14198.20   |   -2888.91   |   -3002.12   |   -3575.03   |     1000     | ⏱️  Timeout 
     13      |  -17335.88   |   -3608.34   |   -3512.41   |   -2654.61   |     1000     | ⏱️  Timeout 
     14      |  -12486.84   |   -1885.02   |   -2729.69   |   -3519.72   |     1000     | ⏱️  Timeout 
     15      |  -13142.71   |   -3038.36   |   -2748.04   |   -2947.82   |     1000     | ⏱️  Timeout 
     16      |  -13937.36   |   -3324.43   |   -2486.61   |   -3726.93   |     1000     | ⏱️  Timeout 
     17      |   -2381.80   |   -613.12    |   -737.51    |   -818.37    |     291      |  ✅ Success  
     18      |   -3637.54   |   -728.62    |   -1192.48   |   -1434.71   |     480      |  ✅ Success  
     19      |   -3417.46   |   -1290.57   |   -1268.33   |   -1024.90   |     473      |  ✅ Success  
     20      |  -14146.29   |   -3522.33   |   -2655.43   |   -3111.77   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 20]: Actor Loss=62.5023, Critic Loss=92.1682, Alpha=0.1121, TD-error=3.7388, Beta=1.0000
     21      |   -9797.14   |   -2886.18   |   -2490.81   |   -2526.08   |     861      |  ✅ Success  
     22      |  -11736.35   |   -2137.75   |   -2049.43   |   -2660.81   |     1000     | ⏱️  Timeout 
     23      |  -14760.76   |   -2752.59   |   -2174.42   |   -2933.56   |     1000     | ⏱️  Timeout 
     24      |   -1178.98   |   -132.44    |    -92.57    |   -141.89    |      59      |  ❌ Failure  
     25      |   -1389.16   |   -184.71    |   -128.96    |   -178.62    |      77      |  ❌ Failure  
     26      |   -4868.01   |   -1207.60   |   -941.75    |   -1413.78   |     441      |  ✅ Success  
     27      |   -761.58    |   -441.49    |   -355.23    |   -326.02    |     152      |  ✅ Success  
     28      |  -13991.67   |   -3427.24   |   -2258.77   |   -2707.62   |     1000     | ⏱️  Timeout 
     29      |   -8520.99   |   -3004.50   |   -1754.50   |   -2232.77   |     821      |  ✅ Success  
     30      |    461.22    |    -89.03    |    -86.69    |   -162.43    |      56      |  ✅ Success  
  📊 统计 [Ep 30]: Actor Loss=51.4034, Critic Loss=80.8722, Alpha=0.0663, TD-error=4.9294, Beta=1.0000
     31      |   -2365.57   |   -882.24    |   -635.69    |   -472.03    |     263      |  ✅ Success  
     32      |   -9969.41   |   -2021.48   |   -2554.99   |   -3020.19   |     1000     | ⏱️  Timeout 
     33      |   -551.13    |    -7.84     |    -6.69     |    -7.80     |      6       |  ❌ Failure  
     34      |  -12394.05   |   -2284.54   |   -2643.64   |   -2492.97   |     1000     | ⏱️  Timeout 
     35      |  -12279.07   |   -2281.20   |   -2146.54   |   -2120.88   |     1000     | ⏱️  Timeout 
     36      |  -12211.25   |   -2005.22   |   -2164.45   |   -2221.72   |     1000     | ⏱️  Timeout 
     37      |   -8355.12   |   -1616.65   |   -1906.41   |   -1557.55   |     824      |  ✅ Success  
     38      |   -5968.29   |   -1008.31   |   -1193.86   |   -864.87    |     404      |  ❌ Failure  
     39      |    347.42    |    -91.35    |   -171.54    |   -103.96    |      76      |  ✅ Success  
     40      |    530.73    |    -64.41    |    -88.46    |    -91.22    |      52      |  ✅ Success  
  📊 统计 [Ep 40]: Actor Loss=51.2550, Critic Loss=68.9230, Alpha=0.0510, TD-error=4.0449, Beta=1.0000
     41      |    40.41     |   -183.67    |   -182.63    |   -234.83    |     105      |  ✅ Success  
     42      |   -980.87    |    -49.73    |    -88.64    |    -79.21    |      49      |  ❌ Failure  
     43      |   -8013.68   |   -1499.01   |   -1891.33   |   -1780.59   |     795      |  ✅ Success  
