📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_211015/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |  Follower3   |    Steps     |    Status   
================================================================================
     0       |   -558.18    |    -7.37     |    -6.94     |    -9.23     |    -7.81     |      6       |  ❌ Failure  
     1       |  -11543.14   |   -1756.87   |   -2006.48   |   -1511.37   |   -1912.83   |     568      |  ❌ Failure  
     2       |  -17748.39   |   -2902.51   |   -3241.93   |   -3108.63   |   -2901.54   |     1000     | ⏱️  Timeout 
     3       |  -17640.70   |   -2941.21   |   -2923.33   |   -2358.27   |   -3516.36   |     1000     | ⏱️  Timeout 
     4       |   -3161.97   |   -506.58    |   -436.37    |   -489.01    |   -449.69    |     171      |  ❌ Failure  
     5       |  -10117.79   |   -2318.53   |   -2128.63   |   -1499.09   |   -2417.94   |     637      |  ✅ Success  
     6       |  -16034.07   |   -3799.62   |   -3177.74   |   -2776.40   |   -2703.15   |     1000     | ⏱️  Timeout 
     7       |  -14744.82   |   -3961.87   |   -2415.63   |   -3429.22   |   -2200.74   |     1000     | ⏱️  Timeout 
     8       |   -1147.29   |    -75.11    |   -130.57    |    -84.54    |    -72.77    |      50      |  ❌ Failure  
     9       |   -2158.11   |   -711.23    |   -721.94    |   -527.37    |   -491.61    |     224      |  ✅ Success  
     10      |   -1956.01   |   -361.37    |   -251.18    |   -184.85    |   -191.74    |     126      |  ❌ Failure  
  📊 统计 [Ep 10]: Actor Loss=58.8195, Critic Loss=27.1831, Alpha=0.2596, TD-error=2.0087, Beta=1.0000
     11      |   -8283.64   |   -1508.46   |   -1403.30   |   -1250.08   |   -1144.77   |     518      |  ❌ Failure  
     12      |  -10661.09   |   -1851.12   |   -1791.64   |   -1631.21   |   -1801.91   |     637      |  ❌ Failure  
     13      |  -16209.08   |   -3298.09   |   -2717.77   |   -3039.23   |   -1872.85   |     1000     | ⏱️  Timeout 
     14      |  -15447.47   |   -3120.74   |   -4144.77   |   -3293.74   |   -2094.61   |     1000     | ⏱️  Timeout 
     15      |   -2475.51   |   -804.00    |   -603.80    |   -646.83    |   -789.21    |     274      |  ✅ Success  
     16      |   -876.18    |    -40.87    |    -66.80    |    -77.85    |    -56.77    |      34      |  ❌ Failure  
     17      |   -1310.77   |   -172.12    |   -160.76    |   -116.55    |   -130.01    |      67      |  ❌ Failure  
     18      |   -2744.31   |   -501.10    |   -502.55    |   -410.47    |   -746.89    |     297      |  ✅ Success  
     19      |   -3525.58   |   -885.85    |   -764.23    |   -642.81    |   -930.19    |     322      |  ✅ Success  
     20      |   -557.26    |    -6.45     |    -8.07     |    -9.31     |    -9.66     |      6       |  ❌ Failure  
  📊 统计 [Ep 20]: Actor Loss=61.4065, Critic Loss=61.3268, Alpha=0.1104, TD-error=2.9084, Beta=1.0000
     21      |  -14814.17   |   -3477.61   |   -3762.58   |   -2391.10   |   -2636.74   |     1000     | ⏱️  Timeout 
     22      |  -13005.12   |   -3575.27   |   -3467.82   |   -2434.98   |   -1742.15   |     1000     | ⏱️  Timeout 
     23      |   -1240.59   |   -343.40    |   -475.94    |   -486.42    |   -483.55    |     196      |  ✅ Success  
     24      |  -11424.44   |   -2934.75   |   -2578.58   |   -2021.15   |   -2184.08   |     804      |  ❌ Failure  
     25      |  -13623.64   |   -4037.33   |   -2256.04   |   -3068.78   |   -3194.10   |     1000     | ⏱️  Timeout 
     26      |  -12091.82   |   -2669.95   |   -3133.04   |   -1877.75   |   -2404.28   |     1000     | ⏱️  Timeout 
